job_name,company_name,city,salary_min,salary_max,experience,education,skill_tags,industry
BI工程师,海康威视,杭州,14,20,1‑3年,本科,"SQL,Hive,Spark",互联网
数据开发工程师,美团,武汉,22,32,1‑3年,硕士,"Python,Tensorflow,Pytorch",智能制造
机器学习工程师,海康威视,杭州,9,18,1‑3年,本科,"Python,数据可视化",人工智能
数据分析师,美团,南京,15,24,应届生,大专,"Python,数据可视化",人工智能
算法工程师,网易,武汉,10,17,应届生,大专,"Java,MySQL,Kafka",人工智能
AI大模型工程师,阿里,大连,11,18,5‑10年,本科,"Python,SQL,Pandas",智能制造
机器学习工程师,字节跳动,深圳,17,25,1‑3年,大专,"SQL,Hive,Spark",智能制造
AI大模型工程师,字节跳动,武汉,20,26,1‑3年,本科,"Python,SQL,Pandas",人工智能
数据开发工程师,科大讯飞,大连,16,26,3‑5年,硕士,"Java,MySQL,Kafka",互联网
BI工程师,海康威视,大连,20,29,3‑5年,大专,"Python,Tensorflow,Pytorch",智能制造
机器学习工程师,海康威视,武汉,15,24,3‑5年,硕士,"Python,Tensorflow,Pytorch",互联网
算法工程师,字节跳动,广州,18,26,5‑10年,硕士,"Python,SQL,Pandas",金融
AI大模型工程师,阿里,广州,8,17,3‑5年,大专,"SQL,Hive,Spark",人工智能
算法工程师,科大讯飞,上海,21,31,1‑3年,硕士,"SQL,Hive,Spark",互联网
数据开发工程师,网易,武汉,21,32,应届生,大专,"SQL,Hive,Spark",互联网
数据分析师,阿里,成都,19,26,1‑3年,硕士,"SQL,Hive,Spark",软件服务
BI工程师,科大讯飞,北京,20,23,1‑3年,本科,"Python,数据可视化",软件服务
AI大模型工程师,字节跳动,北京,13,22,1‑3年,大专,"SQL,Hive,Spark",互联网
算法工程师,百度,杭州,12,23,应届生,硕士,"Python,Tensorflow,Pytorch",人工智能
算法工程师,美团,大连,15,23,1‑3年,大专,"Python,Tensorflow,Pytorch",人工智能
机器学习工程师,腾讯,北京,16,22,1‑3年,本科,"Python,数据可视化",人工智能
机器学习工程师,网易,深圳,16,24,1‑3年,大专,"Python,大模型,LangChain",互联网
数据分析师,字节跳动,成都,21,30,应届生,大专,"Python,Tensorflow,Pytorch",金融
数据分析师,阿里,南京,17,20,应届生,硕士,"Python,数据可视化",智能制造
数据开发工程师,海康威视,南京,15,24,5‑10年,大专,"Python,大模型,LangChain",金融
算法工程师,百度,上海,8,18,3‑5年,本科,"Java,MySQL,Kafka",互联网
算法工程师,腾讯,广州,19,26,5‑10年,硕士,"Python,SQL,Pandas",金融
数据开发工程师,海康威视,武汉,9,12,1‑3年,大专,"SQL,Hive,Spark",互联网
数据开发工程师,海康威视,北京,22,27,3‑5年,硕士,"Python,数据可视化",人工智能
数据分析师,阿里,深圳,11,22,应届生,本科,"Java,MySQL,Kafka",金融
BI工程师,海康威视,成都,22,25,5‑10年,硕士,"Java,MySQL,Kafka",智能制造
AI大模型工程师,美团,南京,15,22,1‑3年,本科,"SQL,Hive,Spark",互联网
AI大模型工程师,科大讯飞,大连,19,26,应届生,硕士,"Python,大模型,LangChain",软件服务
算法工程师,科大讯飞,南京,19,23,5‑10年,大专,"SQL,Hive,Spark",软件服务
AI大模型工程师,字节跳动,上海,9,17,应届生,大专,"Java,MySQL,Kafka",金融
BI工程师,阿里,广州,21,30,3‑5年,本科,"Python,大模型,LangChain",金融
数据分析师,网易,武汉,13,23,3‑5年,硕士,"Python,Tensorflow,Pytorch",金融
数据分析师,美团,北京,13,25,1‑3年,硕士,"Python,SQL,Pandas",人工智能
AI大模型工程师,美团,武汉,21,31,3‑5年,大专,"Python,数据可视化",软件服务
机器学习工程师,海康威视,武汉,14,20,5‑10年,硕士,"Python,Tensorflow,Pytorch",软件服务
数据开发工程师,百度,深圳,11,22,1‑3年,大专,"Python,大模型,LangChain",软件服务
BI工程师,科大讯飞,武汉,19,29,3‑5年,硕士,"Python,Tensorflow,Pytorch",人工智能
